,geneSymbol
1357,ATP2B1
1358,ATP2B2
1359,ATP2B3
1360,ATP2B4
1361,ATP2C1
1362,ATP2C2
1363,ATP3
1364,ATP4
1365,ATP4A
1366,ATP4B
1367,ATP5
1368,ATP5A1
1369,ATP5B
1370,ATP5C1
1371,ATP5D
1372,ATP5E
1373,ATP5EP2
1374,ATP5F1
1375,ATP5G1
1376,ATP5G2
1377,ATP5G3
1378,ATP5H
1379,ATP5I
1380,ATP5J
1381,ATP5J2
1382,ATP5J2-PTCD1
1383,ATP5L
1384,ATP5L2
1385,ATP5MF-PTCD1
1386,ATP5O
1387,ATP5S
1388,ATP5SL
1389,ATP6
1390,ATP6AP1
1391,ATP6AP2
1392,ATP6V0A1
1393,ATP6V0A2
1394,ATP6V0A4
1395,ATP6V0B
1396,ATP6V0C
1397,ATP6V0D1
1398,ATP6V0D2
1399,ATP6V0E1
1400,ATP6V0E2
1401,ATP6V1A
1402,ATP6V1B1
1403,ATP6V1B2
1404,ATP6V1C1
1405,ATP6V1C2
1406,ATP6V1D
1407,ATP6V1E1
1408,ATP6V1E2
1409,ATP6V1F
1410,ATP6V1G1
1411,ATP6V1G2
1412,ATP6V1G2-DDX39B
1413,ATP6V1G3
1414,ATP6V1H
1415,ATP7
1416,ATP7A
1417,ATP7B
1418,ATP8
1419,ATP8A1
1420,ATP8A2
1421,ATP8B1
1422,ATP8B2
1423,ATP8B3
1424,ATP8B4
1425,ATP9A
1426,ATP9B
1427,ATPAF1
1428,ATPAF2
1429,ATPIF1
1430,ATR
1431,ATRAID
1432,ATRIP
1433,ATRN
1434,ATRNL1
1435,ATRX
1436,ATXN1
1437,ATXN10
1438,ATXN1L
1439,ATXN2
1440,ATXN2L
1441,ATXN3
1442,ATXN3L
1443,ATXN7
1444,ATXN7L1
1445,ATXN7L2
1446,ATXN7L3
1447,ATXN7L3B
1448,AUH
1449,AUNIP
1450,AUP1
1451,AURKA
1452,AURKAIP1
1453,AURKB
1454,AURKC
1455,AUTS2
1456,AVEN
1457,AVIL
1458,AVL9
1459,AVP
1460,AVPI1
1461,AVPR1A
1462,AVPR1B
1463,AVPR2
1464,AWAT2
1465,AXDND1
1466,AXIN1
1467,AXIN2
1468,AXL
1469,AYR1
1470,AZGP1
1471,AZI2
1472,AZIN1
1473,AZIN2
1474,AZU1
1475,Aaas
1476,Aacs
1477,Aars
1478,Aatf
1479,Abat
1480,Abca4
1481,Abcb10
1482,Abcb5
1483,Abcb7
1484,Abcc8
1485,Abcd3
1486,Abce1
1487,Abcf1
1488,Abcf2
1489,Abi1
1490,Abl1
1491,Ablim1
1492,Abr
1493,Abt1
1494,Acaa2
1495,Acaca
1496,Acacb
1497,Acad10
1498,Acadl
1499,Acadm
1500,Acads
1501,Acadvl
1502,Acat1
1503,Acat2
1504,Acly
1505,Acmsd
1506,Acnat1
1507,Aco2
1508,Acot8
1509,Acox1
1510,Acp1
1511,Acsbg1
1512,Acsl3
1513,Acsl5
1514,Acsm2
1515,Acss1
1516,Act5C
1517,Acta1
1518,Acta2
1519,Actb
1520,Actbl2
